tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao
PEC,241,2016,1,Aprovado o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 241 de 2016. em primeiro turno. ressalvados os destaques. Sim: 366; Não: 111; Total: 479.,10/10/2016,76200,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,6025
PEC,241,2016,2,Aprovada a Proposta de Emenda à Constituição nº 241de 2016. em segundo turno. ressalvados os destaques. Sim: 359; Não: 116; Abstenções: 2; Total: 477.,25/10/2016,73320,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,6043
PEC,241,2016,3,Rejeitado o Requerimento. Sim: 12; Não: 250; Abstenção:1; Total: 263.,10/10/2016,58560,REQUERIMENTO DE RETIRADA DE PAUTA,6024
PEC,241,2016,4,NA,10/10/2016,64740,REQUERIMENTO DE PRORROGAÇÃO DA SESSÃO POR 1 HORA,6024
PEC,241,2016,5,Aprovado o Requerimento. Sim: 288; Não: 10; Total: 298.,10/10/2016,55080,REQ. DE VOTAÇÃO PELO PROCESSO NOMINAL DE TODOS OS REQUERIMENTOS À PEC 241/16,6024
PEC,241,2016,6,Rejeitada a Emenda n° 21. Sim: 84; Não: 281; Abstenção: 1; Total: 366.,10/10/2016,5940,DTQ 3: PT - EMENDA Nº 21,6026
PEC,241,2016,7,Rejeitada a Emenda n° 19. Sim: 103; Não: 303; Total: 406.,10/10/2016,1560,DTQ 4: PT - EMENDA Nº 19,6026
PEC,241,2016,8,Mantido o texto. Sim: 357; Não: 98; Abstenção: 1; Total: 456.,10/10/2016,82140,DTQ 5: PT - ART. 102 DO ADCT CONST NO ART 1º DO SUBST. APRESENTADO A PEC 241/16,6025
PEC,241,2016,9,Mantido o texto. Sim: 353; Não: 17; Abstenção: 2; Total: 372.,10/10/2016,4020,DTQ 7: PSOL - ART. 104  ADCT CONST NO ART 1º DO SUBST. APRESENTADO A PEC 241/16,6026
PEC,241,2016,10,NA,10/10/2016,63360,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,6024
PEC,241,2016,11,Rejeitado o Requerimento. Sim: 14; Não: 308; Total: 322.,10/10/2016,67980,REQUERIMENTO DE RETIRADA DE PAUTA,6025
PEC,241,2016,12,Prejudicados os Requerimentos de adiamento de votação por 5. 4. 3 e 2 sessões.,10/10/2016,67980,REQUERIMENTO DE RETIRADA DE PAUTA,6025
PEC,241,2016,13,Rejeitada a Emenda n° 15. Sim: 85; Não: 314; Abstenção: 1; Total: 400,10/10/2016,85500,DTQ 12: PCdoB - EMENDA Nº 15,6026
PEC,241,2016,14,Aprovado o Requerimento. Sim: 306; Não; 12; Total: 318.,10/10/2016,74700,REQ. DE VOTAÇÃO  EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,6025
PEC,241,2016,15,Rejeitado o Requerimento. Sim: 13; Não: 305; Total: 318.,10/10/2016,70500,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,6025
PEC,241,2016,16,Rejeitada. em globo. a admissibilidade dos destaques simples. Em consequência. ficam prejudicados os referidos destaques (DTQ 9. 10 e 11). Sim: 13; Não: 313; Total: 326.,10/10/2016,75060,VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,6025
PEC,241,2016,17,Rejeitada Emenda Aglutinativa n° 5. Sim: 26; Não: 300; Total: 326.,10/10/2016,78960,EMENDA AGLUTINATIVA Nº 5,6025
PEC,241,2016,18,Rejeitada a Emenda Aglutinativa n° 6. Sim: 90; Não: 327; Total: 417.,10/10/2016,80340,EMENDA AGLUTINATIVA Nº 6,6025
PEC,241,2016,19,Rejeitado o Requerimento. Sim: 87; Não: 325; Total: 412.,10/10/2016,84240,REQUERIMENTO DE RETIRADA DE PAUTA,6026
PEC,241,2016,20,Rejeitado o Requerimento. Sim: 13; Não: 246; Total: 259.,25/10/2016,46140,REQUERIMENTO DE RETIRADA DE PAUTA,6042
PEC,241,2016,21,Rejeitado o Requerimento. Sim: 19; Não: 258; Total: 277.,25/10/2016,65940,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,6043
PEC,241,2016,22,Mantido o texto. Sim: 332; Não: 64; Total: 396.,25/10/2016,86340,"DTQ. 1 - PCdoB - EXPR. ""A PARTIR DO DÉCIMO EXERCÍCIO DA VIGÊNCIA DO NOVO...",6044
PEC,241,2016,23,Inadmitidos. em globo. os destaques simples (DTQs 2. 3. 4. 5. 6. 12. 13. 14. 16 e 17). Sim: 27; Não: 320; Total: 347.,25/10/2016,70080,VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,6043
PEC,241,2016,24,Mantido o texto. Sim: 340; Não: 25; Total: 365.,25/10/2016,83280,DTQ. 7 - PDT - INCISO IV. DO §6º. DO ART. 102. DO ADCT. ALT. P/ ART. 1º DA PEC,6044
PEC,241,2016,25,Mantido o texto. Sim: 335; Não: 30; Abstenção: 1; Total: 366.,25/10/2016,2400,DTQ. 10 - PT - PARÁGRAFO ÚNICO DO ART. 103 DO ADCT. ALT. PELO ART. 1º DA PEC,6044
PEC,241,2016,26,Mantido o texto. Sim: 332; Não: 29; Abstenção: 1; Total: 362.,25/10/2016,4680,DTQ. 8 - PSOL - ART. 104 DO ADCT. INSERIDO PELO ART. 1º DA PEC,6044
PEC,241,2016,27,Mantido o texto. Sim: 325; Não: 89; Abstenção: 1; Total: 415.,25/10/2016,6480,DTQ. 11 - PT - ART. 105 DO ADCT. ALTERADO PELO ART. 1º DA PEC,6044
PEC,241,2016,28,Aprovado o Requerimento. Sim: 297; Não: 27; Total: 324.,25/10/2016,53760,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,6042
PEC,241,2016,29,Rejeitado o Requerimento. Sim: 27; Não: 265; Total: 292.,25/10/2016,61440,REQUERIMENTO DE RETIRADA DE PAUTA,6043
PEC,241,2016,30,Aprovado o Requerimento. Sim: 237; Não: 21; Total: 258.,25/10/2016,69180,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,6043
PEC,241,2016,31,Mantido o texto. Sim: 346; Não: 20: Abstenção: 1; Total: 367.,25/10/2016,79140,DTQ. 15 - PT - INC. I DO ART. 102 DO ADCT. CONST. DO ART. 1º DA PEC,6044
PEC,241,2016,32,Rejeitado o Requerimento. Sim: 13; Não: 248; Total: 261.,25/10/2016,64200,REQUERIMENTO DE VOTAÇÃO POR GRUPOS DE ARTIGOS,6043
PEC,241,2016,33,Rejeitado o Requerimento. Sim: 12; Não: 292; Total: 304.,25/10/2016,77040,REQUERIMENTO DE RETIRADA DE PAUTA,6044
PL,2479,2000,1,Rejeitado o Requerimento. Sim: 179; não: 187; total: 366.,20/8/2015,48120,REQUERIMENTO DE PREFERÊNCIA PARA O TEXTO ORIGINAL,5633
PLP,25,2007,1,Aprovada a Emenda Aglutinativa Substitutiva nº 1 apresentada ao Projeto de Lei Complementar nº 25 de 2007. ressalvados os destaques. Sim: 417; não: 2; total: 419.,1/9/2015,74760,EMENDA AGLUTINATIVA Nº 1,5646
PLP,25,2007,2,Suprimido o texto. Sim: 210; não: 171; abstenções: 9; total: 390.,2/9/2015,64380,"DTQ 6: PTB - EXPR.: ""COM PRODUÇÃO ARTESANAL""",5648
PLP,25,2007,3,Aprovada Emenda de Plenário nº 10. Sim: 344; não: 73; abstenções: 3; total: 420.,2/9/2015,66960,EMENDA DE PLENÁRIO Nº 10,5648
PLP,25,2007,4,Mantido o texto. Sim: 389; não: 28; total: 417.,2/9/2015,69180,DTQ 13: PSDB - ART. 9º DA EMENDA AGLUTINATIVA SUBST. GLOBAL DE PLENÁRIO,5648
PL,2505,2000,1,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,23/4/2015,49500,DVS PSDB - EMENDA Nº 6,5507
REQ,2507,2015,1,Aprovado o Requerimento de Urgência (Art. 155 do RICD).Sim: 373; não: 34; abstenção: 2; total: 409.,17/9/2015,46500,URGÊNCIA PARA APRECIAÇÃO DO PLP 124/2015,5664
PL,2516,2015,1,Mantido o texto. Sim: 207; Não: 83; Abstenção: 1;Total: 291.,6/12/2016,77580,DTQ. 4 - DEM - §4º DO ART. 47 DO SUBSTITUTIVO,6082
PLP,257,2016,1,Rejeitado o Requerimento. Sim: 99; Não: 222; Total: 321.,9/8/2016,69180,REQUERIMENTO DE RETIRADA DE PAUTA,5959
PLP,257,2016,2,Aprovada a Subemenda Substitutiva Global apresentada pelo Relator da Comissão de Trabalho. de Administração e Serviço Público. ressalvados os destaques. Sim: 282; Não: 140; Abstenção: 2; Total: 424.,9/8/2016,2520,SUBEMENDA SUBSTITUTIVA GLOBAL DA CTASP,5960
PLP,257,2016,3,Mantido o texto. Sim: 305; Não: 58; Abstenções: 2; Total: 365.,30/8/2016,66360,DTQ. 23: PT - INC. III DO § 1º DO ART. 5º DA LEI COMPLEMENTAR Nº 148/2014,5982
PLP,257,2016,4,Mantido o texto. Sim: 307; Não: 50; Total: 357.,30/8/2016,73920,DTQ. 24: PT - INC. III DO ART. 2º DA LEI Nº 9496/1997,5983
